2022-08-18+02:00 18:28:36
SRC_ADDR             | DST_ADDR             | SRC_PORT        | DST_PORT        | Total_Bytes     | Start_ts                       | End_ts                         | Protocol                      
192.168.1.1          | 10.0.2.15            | 53              | 35867           | 81              | 1660839834.356880              | 1660839834.356880              | UDP                            
10.0.2.15            | 142.250.180.131      | 32826           | 443             | 5024            | 1660839828.323765              | 1660839830.183034              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 60564           | 99              | 1660839829.316015              | 1660839829.316015              | UDP                            
10.0.2.15            | 192.168.1.1          | 40662           | 53              | 94              | 1660839833.963676              | 1660839833.963676              | UDP                            
10.0.2.15            | 192.168.1.1          | 55415           | 53              | 94              | 1660839834.704087              | 1660839834.704087              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 48432           | 94              | 1660839833.694191              | 1660839833.694191              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 37643           | 140             | 1660839834.558720              | 1660839834.558720              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 51119           | 114             | 1660839831.897782              | 1660839831.897782              | UDP                            
10.0.2.15            | 185.199.110.133      | 60228           | 443             | 3075            | 1660839834.077615              | 1660840005.364715              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 48442           | 104             | 1660839828.952833              | 1660839828.952833              | UDP                            
140.82.121.6         | 10.0.2.15            | 443             | 60500           | 7614            | 1660839835.658392              | 1660840008.372646              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 35569           | 101             | 1660839835.639569              | 1660839835.639569              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 36067           | 126             | 1660839841.687076              | 1660839841.687076              | UDP                            
10.0.2.15            | 142.250.180.132      | 44169           | 443             | 56419           | 1660839826.667616              | 1660839842.954900              | UDP                            
10.0.2.15            | 192.168.1.1          | 37195           | 53              | 94              | 1660839833.655586              | 1660839833.655586              | UDP                            
10.0.2.15            | 192.168.1.1          | 37915           | 53              | 94              | 1660839833.738284              | 1660839833.738284              | UDP                            
10.0.2.15            | 192.168.1.1          | 52535           | 53              | 81              | 1660839834.702575              | 1660839834.702575              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 52535           | 81              | 1660839834.708121              | 1660839834.708121              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 43085           | 94              | 1660839833.669308              | 1660839833.669308              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 47560           | 94              | 1660839833.828666              | 1660839833.828666              | UDP                            
34.117.237.239       | 10.0.2.15            | 443             | 60656           | 393             | 1660839858.634392              | 1660839912.359355              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 57608           | 114             | 1660839922.592007              | 1660839922.592007              | UDP                            
10.0.2.15            | 192.168.1.1          | 44855           | 53              | 100             | 1660839984.051836              | 1660839984.051836              | UDP                            
10.0.2.15            | 192.168.1.1          | 54405           | 53              | 91              | 1660839834.536888              | 1660839834.536888              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 60149           | 94              | 1660839833.704186              | 1660839833.704186              | UDP                            
142.251.209.46       | 10.0.2.15            | 443             | 55809           | 2853            | 1660839828.968127              | 1660839831.011548              | UDP                            
10.0.2.15            | 192.168.1.1          | 47560           | 53              | 94              | 1660839833.826011              | 1660839833.826011              | UDP                            
10.0.2.15            | 192.168.1.1          | 43841           | 53              | 92              | 1660839829.302297              | 1660839829.302297              | UDP                            
10.0.2.15            | 192.168.1.1          | 47998           | 53              | 94              | 1660839833.822141              | 1660839833.822141              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 55415           | 94              | 1660839834.713321              | 1660839834.713321              | UDP                            
10.0.2.15            | 31.13.86.4           | 35500           | 443             | 1986            | 1660839830.776774              | 1660839830.830326              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 55794           | 86              | 1660839835.261261              | 1660839835.261261              | UDP                            
140.82.112.22        | 10.0.2.15            | 443             | 55256           | 6422            | 1660839834.668207              | 1660840005.465219              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 54489           | 94              | 1660839833.737078              | 1660839833.737078              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 34944           | 114             | 1660839826.676023              | 1660839826.676023              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 45827           | 81              | 1660839831.248758              | 1660839831.248758              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 41356           | 97              | 1660839831.258500              | 1660839831.258500              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 39250           | 94              | 1660839831.246537              | 1660839831.246537              | UDP                            
10.0.2.15            | 192.168.1.1          | 53701           | 53              | 86              | 1660839835.243192              | 1660839835.243192              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 47685           | 86              | 1660839835.247345              | 1660839835.247345              | UDP                            
0.0.0.0              | 0.0.0.0              | 0               | 0               | 204             | 1660839927.669786              | 1660839988.086391              |                                
10.0.2.15            | 142.250.180.132      | 57635           | 443             | 2545            | 1660839952.921250              | 1660839953.029486              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 54405           | 208             | 1660839834.562664              | 1660839834.562664              | UDP                            

