2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
192.168.1.1               | 10.0.2.15                 | 53              | 44114           | 114             | 1662574616.517545              | 1662574616.517545              | UDP                            
10.0.2.15                 | 192.168.1.1               | 59307           | 53              | 81              | 1662574618.718667              | 1662574618.718667              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 50929           | 81              | 1662574621.107438              | 1662574621.107438              | UDP                            
10.0.2.15                 | 192.168.1.1               | 36878           | 53              | 114             | 1662574636.330866              | 1662574636.330866              | UDP                            
10.0.2.15                 | 192.168.1.1               | 42701           | 53              | 100             | 1662574613.723293              | 1662574613.723293              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 35185           | 136             | 1662574635.723133              | 1662574635.723133              | UDP                            
10.0.2.15                 | 192.168.1.1               | 59241           | 53              | 84              | 1662574621.085663              | 1662574621.085663              | UDP                            
10.0.2.15                 | 192.168.1.1               | 60620           | 53              | 94              | 1662574642.759308              | 1662574642.759308              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 38058           | 94              | 1662574615.110090              | 1662574615.110090              | UDP                            
10.0.2.15                 | 216.58.209.36             | 58694           | 443             | 1636            | 1662574616.993294              | 1662574734.410982              | TCP                            
10.0.2.15                 | 192.168.1.1               | 55670           | 53              | 94              | 1662574621.113552              | 1662574621.113552              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 40768           | 135             | 1662574623.665091              | 1662574623.665091              | UDP                            
10.0.2.15                 | 192.168.1.1               | 42415           | 53              | 94              | 1662574615.472168              | 1662574615.472168              | UDP                            
10.0.2.15                 | 216.58.209.36             | 53285           | 443             | 4991            | 1662574616.907243              | 1662574619.889958              | UDP                            
10.0.2.15                 | 192.168.1.1               | 46957           | 53              | 86              | 1662574623.647226              | 1662574623.647226              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40619           | 53              | 90              | 1662574625.450935              | 1662574625.450935              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55202           | 94              | 1662574645.217605              | 1662574645.217605              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 51546           | 185             | 1662574635.724369              | 1662574635.724369              | UDP                            
10.0.2.15                 | 192.168.1.1               | 53589           | 53              | 106             | 1662574618.824986              | 1662574618.824986              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 37706           | 86              | 1662574647.459297              | 1662574647.459297              | UDP                            
10.0.2.15                 | 34.117.237.239            | 46092           | 443             | 2129            | 1662574681.740310              | 1662574740.766169              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 54826           | 302             | 1662574589.068321              | 1662574589.068321              | UDP                            
